id,created_at,user_screen_name,user_location,user_description,full_text
1537165546571063296,2022-06-15 20:10:00+00:00,KM4OOS,Alabama USA,"radio guy📻
legalize It🥦
turn off TV📺

Homo sum, humani nihil a me alienum puto
13th of Ophiuchus

cashapp-
$KM4OOS

🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇪
🎺septet seeking
🤪","RT @jai_lies: $1 billion more dollars in weapons for Ukraine but 330,000 Americans died from COVID due to lack of healthcare and they won’t…"
1537165546059440128,2022-06-15 20:09:59+00:00,Toomas922,"Old Bridge, NJ","MAGA Patriot, despise groomers.","RT @ClayTravis: Dr. Fauci, who has received four covid shots, just tested positive for covid."
1537165545082077187,2022-06-15 20:09:59+00:00,proletariatkami,Canada,"Internationalist fighting 4 full social n economic equality. Support BDS, the working class, n exposing legacy media conspiracy theories/propaganda.","@rubiconcapital_ Cuz its a poorly designed (mRNA) vaccine that we got suckered into thinking was just like every other vaccine (attenuated), but it's not. 

I got covid without being vaxxed, n it wouldnt make my top 20 list of worst colds/flus in my life. Tonsillitis n Norwalk were much worse."
1537165544247402499,2022-06-15 20:09:59+00:00,emmdw4,,,RT @RMConservative: Fauci getting covid after 4 shots on the day they approve them for babies is emblematic of where we are in Amerika toda…
1537165544029290496,2022-06-15 20:09:59+00:00,onlyharlowfans,🧀🍺,copious amounts of alcohol is needed to survive a day in this hellscape,"RT @TomiLahren: Vax vax boost boost, still get COVID, still give COVID. 

Wild stuff, folks. Imagine that."
1537165542695522306,2022-06-15 20:09:59+00:00,SCKrys1801,"South Carolina, USA",A wife and mom who just wants a better tomorrow for her family. #Resist #BLM #LGBTQ #Homeschoolmom #VoteBlue,RT @sfchronicle: The vaccine advisory committee for the U.S. Food and Drug Administration on Wednesday unanimously recommended the FDA gran…
1537165541625847808,2022-06-15 20:09:58+00:00,techlohican1,,"Councilor at Large, Security Chief, Sachem","The answer was provided just prior to Covid-19 by an individual that rose to the rank of a ""Ruby"" Mason. I met this person in New England and since I can not confirm the admission, I relay only narrative. It was first divulged to me the nature of black-balling and the initial... https://t.co/NO3dyBhU2M"
1537165541558714368,2022-06-15 20:09:58+00:00,nappy_techie,Island of Misfit Toys,Hot Potato Composter and Director of Engineering @EFF. Former stressed out web developer and sys admin.,RT @ImmunizeUnder5s: We would like to say a special thank you to ALL the families who participated in the #Covid vaccine trials for both @p…
1537165540980146176,2022-06-15 20:09:58+00:00,GeoAnnie135,United States,Geoscience Professor. Scientist. Mother. Voting Rights. Women's Rights. She/her. #Resist #Science #Vote2022,"@AGomezler @rubin_allergy @moderna_tx @US_FDA I can't answer that from a medical/scientific perspective. From a parental one, I am happy to give my baby any boost in protection that I can. If there's a chance that the vaccine will prevent her from getting long covid or long-term organ damage, I'll gladly take it!"
1537165540615147521,2022-06-15 20:09:58+00:00,MarcoCantamessa,Torino - Italia,"Professor at @PoliTOnews working for a dream: hearing my alumni say “Italy is now cool, I’d like to come back”. And then, sailing in the Med.","RT @BallouxFrancois: Some people perceive the Covid-19 pandemic primarily as a 'moral failure', others as a 'natural disaster'. To me, the…"
