id,created_at,user_screen_name,user_location,user_description,full_text
1537165744839962624,2022-06-15 20:10:47+00:00,AngieGLaw,USA,RT not necessarily endorsement,"RT @BallouxFrancois: Some people perceive the Covid-19 pandemic primarily as a 'moral failure', others as a 'natural disaster'. To me, the…"
1537165657451675648,2022-06-15 20:10:26+00:00,discordantrhyme,St Helen of the Blessed Shroud,"More weight, baby. Keeping it not-real.",@TheDisproof @maxo531 @EricsElectrons @BjornLomborg Maxo never mentioned hospitals and there are other reasons natural disaster related fatalities are decreasing.
1537165609695428610,2022-06-15 20:10:15+00:00,CodyWil67343302,,I O,RT @Gabby_Hoffman: I’m currently in Montana and only those from outside the area are blaming climate change as a cause of flooding. Not eve…
1537165540615147521,2022-06-15 20:09:58+00:00,MarcoCantamessa,Torino - Italia,"Professor at @PoliTOnews working for a dream: hearing my alumni say “Italy is now cool, I’d like to come back”. And then, sailing in the Med.","RT @BallouxFrancois: Some people perceive the Covid-19 pandemic primarily as a 'moral failure', others as a 'natural disaster'. To me, the…"
1537165480682733569,2022-06-15 20:09:44+00:00,RussellCawyer,"Dallas/Fort Worth, Texas",Texas lawyer representing employers in labor and employment disputes.,Fifth Circuit holds COVID-19 isn’t a natural disaster under WARN Act.  https://t.co/2X4SgWTHxd
1537165337652649984,2022-06-15 20:09:10+00:00,SheilaLindquist,,,RT @anna_bynature: You know what sucks? The fact that it took a natural disaster like the Yellowstone flooding to show people climate chang…
1537165078893674501,2022-06-15 20:08:08+00:00,lizhoveland,she/they,@harvard alum | dftba🖖🏼,RT @paulsgkim: tourists are dealing well with montana’s largest natural disaster in a generation 👍 https://t.co/PxLgx3MPpC
1537164997696045062,2022-06-15 20:07:49+00:00,ChipSouthpaw,,"Anti-Fascist

Leftist Activist

If u write something hating on the working-class I'm gonna call u out on it
#occupywallstreet #blacklivesmatter","RT @annehelen: Imagine a major natural disaster happens in your state and your governor is not only out of the state, but out of the countr…"
1537164797388521472,2022-06-15 20:07:01+00:00,SheltieSkiing,,,"RT @annehelen: Imagine a major natural disaster happens in your state and your governor is not only out of the state, but out of the countr…"
1537164655667204096,2022-06-15 20:06:27+00:00,soulbat25,MONTANA,Father to the canine children. Husband to the wildflower. Retweets are not endorsements. Health Care Worker. Get Vaxxed.,RT @anna_bynature: You know what sucks? The fact that it took a natural disaster like the Yellowstone flooding to show people climate chang…
1537164619592048640,2022-06-15 20:06:19+00:00,soulbat25,MONTANA,Father to the canine children. Husband to the wildflower. Retweets are not endorsements. Health Care Worker. Get Vaxxed.,RT @paulsgkim: tourists are dealing well with montana’s largest natural disaster in a generation 👍 https://t.co/PxLgx3MPpC
1537164564009086976,2022-06-15 20:06:05+00:00,thewmatt,"Whitefish, MT",Editorial/Portrait/Wedding photographer. Designer. Player of videogames. Penguin aficionado. Married to @aspeneater. See also @ExpletiveAppCo. he/him,"It's funny that the @GovGianforte is in some heretofore undisclosed location on vacation, but at least he had the good sense to leave before the natural disaster unlike @tedcruz. And I honestly don't mind that he's on vacation, in today's world he can govern from afar..."
