id,created_at,user_screen_name,user_location,user_description,full_text
1537165980912205831,2022-06-15 20:11:43+00:00,drdrjojo,,"""The State of the Union went great.. except for the angry woman mumbling” DJT N.H.

Twitter hasn’t allow me to follow anyone since the 1/6 purge and exodus","RT @ShellenbergerMD: Somehow I doubt Facebook will censor the Chinese government’s renewable energy propaganda, which it happily promotes o…"
1537165966567538688,2022-06-15 20:11:40+00:00,MUHAMMAD1169,☪️ Worldwide ☪️,"The prayer in congregation is twenty seven times superior to the prayer offered by person alone.

-Bukhari",RT @RealDRothschild: This is another issue with  his country…we have so many problems. This countries # money needs to go to United States…
1537165961815785472,2022-06-15 20:11:39+00:00,Elizabe90736128,Australia,,RT @TrentWisemanTLM: What renewable energy looks like in 2022
1537165911324790784,2022-06-15 20:11:27+00:00,RpWwDGnSbl1oG12,名古屋市,"今晩は，どなたか、あつこさんがツィッターから消えているようですが、何か知っている方,教えて下さい！凄く気になっています",RT @CNBCCatalyst: France’s TotalEnergies is now dedicating half its annual investments to developing renewable energy. Find out how this tr…
1537165904093511680,2022-06-15 20:11:25+00:00,WalterMenteth,Central London,"Architect, planner, @PublicPractice assoc. Enfield, @projcompassEU (intelligent commissioning=better design) @RIBA President's Research Medal-views my own","RT @ProfStrachan: Highly recommended read 

""Bloomberg NEF estimates that #solar and #wind are the cheapest source for 91 percent of the wo…"
1537165877132533760,2022-06-15 20:11:18+00:00,Jstewartresist,,,"RT @NathanMackBrown: @JoeBiden When gas prices are averaging $5+ a gallon there is only ONE sane response.

Invest MORE in renewable energy…"
1537165849043378177,2022-06-15 20:11:12+00:00,Jstewartresist,,,"RT @NathanMackBrown: @JoeBiden President Biden, you are doing the right thing by using your executive powers to mandate increased renewable…"
1537165756139438081,2022-06-15 20:10:50+00:00,agentsmith247,Lagos,"Agribusiness Executive at Growsel, Climate change agent/advocate. #climateWednesday, Logistics, freight and supply chain specialist and process improvement.","RT @PreetiN26066785: #GlobalWindDay celebrated on June 15, aiming to understand, discover the prospects of #windenergy.
Today, the world is…"
1537165755510161409,2022-06-15 20:10:49+00:00,myweiredworld,Where the wild plants grow.,"Medical & Edible wild plants can be found all around us. You can collect a good meal while walking the trails, or the streets if you know what to look for.","@MayraFlores2022 @elonmusk Elon's bringing the Green New Deal to Texas. Everything in his plant will be 100% powered by renewable energy, primarily solar.
Are you sure you want his backing? Yes?
Fantastic! Renewable energy for all! 
Texans will be amazed at what renewable energy will do to stabilize energy https://t.co/3BR5D5ohxD"
1537165620785123333,2022-06-15 20:10:17+00:00,BenjaminHaar,,,"RT @antonioguterres: From raw materials to technology, subsidies, investments, and policies, we have the tools to jump-start the renewable…"
