id,created_at,user_screen_name,user_location,user_description,full_text
1537165125278281728,2022-06-15 20:08:19+00:00,Akkarap44493446,,HengJuzan Akkaraphon Wanrareun,"RT @tier10k: [DB] US Close

S&amp;P500: +1.46%
Nasdaq: +2.51%
Dow: +0.98%"
1537164072864522240,2022-06-15 20:04:08+00:00,cruzinfas7,,,RT @zerohedge: All S&amp;P500 companies closing red hasn't happened since 1990: BBG
1537163943965249539,2022-06-15 20:03:38+00:00,DiamondEyesFox,,"Crypto-Evangelist.
Writer @viamirror @substackinc.
Psychedelic Advocate.
Religious Educator.
Transhumanist.
TCG Player.
Weeb.
Libertarian.
Gender Critical🟩⬜🟪","RT @tier10k: [DB] US Close

S&amp;P500: +1.46%
Nasdaq: +2.51%
Dow: +0.98%"
1537163652385718273,2022-06-15 20:02:28+00:00,alivingzhongda,"İzmir, Türkiye","Man proposes, heaven disposes.","RT @tier10k: [DB] US Close

S&amp;P500: +1.46%
Nasdaq: +2.51%
Dow: +0.98%"
1537163635570745354,2022-06-15 20:02:24+00:00,CryptoQueen_5,"England, United Kingdom",On chain analysis & Fundamentals,"US Close

S&amp;P500: +1.46%
Nasdaq: +2.51%
Dow: +0.98%"
1537163566935322624,2022-06-15 20:02:08+00:00,tonnuhm123,ประเทศไทย,"L i v e 25 years old
PCCCR  Microbiology CMU (Study of the biology of microscopic organisms)
: Beer & Crypto
- โพสอะไร สงสัย อยากพูดคุย พิมถามได้เลยครับ","RT @tier10k: [DB] US Close

S&amp;P500: +1.46%
Nasdaq: +2.51%
Dow: +0.98%"
1537163333719162880,2022-06-15 20:01:12+00:00,DjaniEfendi,,"Up early, up often, up only | Quantamental Finance | #7461 | $APE","15/06/2022

US Close

S&amp;P500: +1.46%
Nasdaq: +2.51%
Dow: +0.98%"
1537163224155578369,2022-06-15 20:00:46+00:00,tier10k,,*FASTEST MARKET-MOVING NEWS IN CRYPTO: SOURCES,"[DB] US Close

S&amp;P500: +1.46%
Nasdaq: +2.51%
Dow: +0.98%"
1537163175388495872,2022-06-15 20:00:34+00:00,Cr10Ragnar,,,"@LuciaConte0 Crypto you’re screwed.  Buy buy buy S&amp;P500 index funds. If it keeps going down keep buying. It’s a simple investment, low fee, and it tracks the overall market."
1537161962202726400,2022-06-15 19:55:45+00:00,clinty1,Toronto,"My IT career was in banking & insurance. I've written analytics to pick stocks to buy & hold. Opinions only, not financial advice. Please do own dd & research.","I'm looking forward to this from the S&amp;P500

2016-11-04     2085.18
2018-01-26     2872.87

⬆️37.78%

but I don't think today is the start of it."
1537161814383169536,2022-06-15 19:55:10+00:00,tkddnrdl5,,I LOVE APENFT,RT @MrSatsurday: S&amp;P500 above the trend line now and no longer over-sold. This is why I suspect a decent bounce here. https://t.co/VkSaxTjm…
1537160098711207936,2022-06-15 19:48:21+00:00,thefinancialtlk,Canada,Latina from 🇪🇨 | On a mission to empower WOC to achieve their financial goals | Talk finance to me 📣,"Today is #payday 💰

I’m going to go and pay myself first by buying more S&amp;P500 etf."
