id,created_at,user_screen_name,user_location,user_description,full_text
1537165770022457344,2022-06-15 20:10:53+00:00,Junboy71,,"#CryptoInvestor #SaitamaWolfPack
#Saitamask #ImpactXP #LuckyRooToken  ... Always Do Your Own Research before Investing.",RT @CNBC: Stocks rallied after the Fed hiked rates by 75 basis points — its largest increase since 1994 — and signaled it could raise rates…
1537165749021728768,2022-06-15 20:10:48+00:00,Zicutake,,(c) 2011 - 2022 zicutake@mail.ru... soon token $adman...Have you ever thought about being rewarded for reading Zicutake's vast content?,Nasdaq jumps 2.5% as US stocks soar after the Fed ramps up fight against inflation with 75-basis-point rate hike https://t.co/Cc15ZP6Fdr
1537165737655095296,2022-06-15 20:10:45+00:00,Johnkim26391993,"IRVINE, CA",TESLA&AMC Not a Financial Advisor,Nasdaq jumps 2.5% as US stocks soar after the Fed ramps up fight against inflation with 75-basis-point rate hike https://t.co/uHZ4Cz7DjR via @mktsinsider
1537165708760690688,2022-06-15 20:10:38+00:00,bitcoinpartyall,,#Bitcoin news bot created by @kyletorpey.,business insider: nasdaq jumps 2.5% as us stocks soar after the fed ramps up fight against inflation with 75-basis-point rate hike https://t.co/eQ0iHF5WAW
1537165706831089664,2022-06-15 20:10:38+00:00,GenXLivesOn,United States,"Another person w/a voice heavily censored by Twitter. Narcissistic Abuse Survivor, I see the patterns •NO DM’s• 1A 2A INTJ MAGA USA 🦅🇺🇸","RT @NatShupe: With the Biden inflation through the roof, Biden gas prices setting record highs and the Biden stock market tumble, are we se…"
1537165693464244225,2022-06-15 20:10:35+00:00,1patogh,United States,"Dear, since you have reached my page, I hope you will follow me, if you do not mind 🙂🧡","5 things to know before the stock market opens Wednesday, June 15 https://t.co/IGdf8SzeOV"
1537165678729342976,2022-06-15 20:10:31+00:00,VijayGounder,"Coimbatore, India",“Trust your Vibe”,"RT @BillyM2k: why the fuck wasn’t this priced in already 

the stock market is stupid af"
1537165670571511820,2022-06-15 20:10:29+00:00,shawndre000,,,"RT @AdamLaxalt: Nevadans are being crushed under @CortezMasto &amp; @JoeBiden’s leadership:

❌Inflation levels at their worst
❌2nd highest gas…"
1537165642390020096,2022-06-15 20:10:22+00:00,nat6ix,"Toronto, ON","Another ttrpg addict. Egypt and Lebanon's coolest dm by far.

Currently DMing Monster of the week and playing in some 5e games.

Working on stories indefinitely","Ttrpg community question

Is there a market for selling custom painted minis? Not creating the stls or anything but just painting for people. Even just having a stock of painted minis for people to buy"
1537165626795507712,2022-06-15 20:10:19+00:00,FastestAlert,,Over 500 members. DM us for our premium stock alerts.,"$FOCS Icon Wealth Partners To Join Focus As A New Partner Firm, Broadening Focus Presence In The Texas Wealth Management Market

Stock News Alerts In Bio"
1537165610517504001,2022-06-15 20:10:15+00:00,pavich_c,,,"@2020_rewind @CNBC Liar oil sold on stock market we must by our oil that way and oay same price as rest of the world.
Stop just saying stuff"
1537165599494782978,2022-06-15 20:10:12+00:00,resx18,#RedSoxNation ,"If someone gives you 10,000 to 1 on anything, you take it!   (opinions expressed are for entertainment purposes only)",$PECK - Securities Registration: Employee Benefit Plan (s-8) https://t.co/qC5tEovYEM
1537165582260391938,2022-06-15 20:10:08+00:00,stock_titan,,Free Stock Market News are delayed 15 sec. Full features and live news available here: https://t.co/fWRacb3Vft,"$FOCS Icon Wealth Partners to Join Focus as a New Partner Firm, Broadening Focus Presence in the Texas Wealth Management Market
https://t.co/1X4msH9MTn"
1537165570029899777,2022-06-15 20:10:05+00:00,BeEffInvictus,Doggerland,"Dad of Jackson (Jack) the Aussie puppy & his siblings, Ruby & Buddy. Jab Injured, writer, researcher, skeptic, family historian, photographer, hiker, HODLer.","RT @HannahDCox: Updated Report Shows Members of Congress Beat the Stock Market in 2021—And Made Some Sus Trades

My latest:
https://t.co/iV…"
1537165566334472192,2022-06-15 20:10:04+00:00,sarkpix,"California, USA",,"And, once again, after years of being wrong, the stock market still believes Powell somehow https://t.co/6kPYcBUHVd"
1537165554284363777,2022-06-15 20:10:01+00:00,shaolintrader88,,,there were so many clear entry signals post FED...  n every stock was in sync with the market lol... u could have put on 3-4 positions with the same setup at the same time
1537165550132297728,2022-06-15 20:10:00+00:00,timfield3,,I love capitalism.,"One of the funny things about the stock market is that every time one person buys, another sells, and both think they are astute"
1537165542045392896,2022-06-15 20:09:59+00:00,aKFeyFA7jlYWZdz,,,"RT @HAGnews2: 💥Financial notes will be the trigger of the biggest financial crisis! 
🔔Stock market + digital currencies have been literally…"
1537165534059536385,2022-06-15 20:09:57+00:00,Rick_melk,,"“Life isn’t about finding yourself. Life is about creating yourself.”
not telling you to buy, do your own DD","@TheGoodGuysIDEX When the Federal Open Market Committee (FOMC) changes the interest rate, it impacts both the economy and the stock markets because borrowing becomes either more or less expensive for individuals and businesses."
1537165502358986752,2022-06-15 20:09:49+00:00,unixninja92,,DevOps Engineer. Tweets are my own.  he/him 🏳️‍🌈  https://t.co/iQYLrRogWC,"RT @Corporate_Rich: Nearly every credible financial source has suggested that stocks have entered a bear stock market, a housing correction…"
1537165496499556354,2022-06-15 20:09:48+00:00,RMJ860,Abu Dhabi - U.A.E.,I'm a You/tube content creator since October 2021.  Below is the link to my new channel.  Check it out and if you like the videos then please share & subscribe,RT @ACTBrigitte: Joe Biden has crashed President Trump’s stock market.
1537165494834212864,2022-06-15 20:09:47+00:00,Heidi_Rasor,"Scottsdale, AZ","Wife, Mother, Equestrian","RT @TaxReformExpert: The stock market has lost $11 trillion.

The national debt has increased by $3 trillion.

The average gas price is $5.…"
1537165448478765058,2022-06-15 20:09:36+00:00,Deborah89076181,"Redwood City, CA","Actress, Photographer, living the dream. just moved into a new apartment. I'm not homeless anymore! Total political junkie  -😊❤️‍🔥😇🙏",RT @CNBC: Stocks rallied after the Fed hiked rates by 75 basis points — its largest increase since 1994 — and signaled it could raise rates…
1537165443701555201,2022-06-15 20:09:35+00:00,Carman5Janet,"Tampa, FL","I'm living my life to the fullest with the love of my life ,#SoulmatesforLife. We Thank God for US !!!💞💫👑💫❤💫👑💫💞🤗🥰😊😇🙏",RT @NickAdamsinUSA: Joe Biden is destroying the Stock Market President Trump saved. This country is going to hell in a handbasket.
1537165440656482308,2022-06-15 20:09:34+00:00,dmlevitt,New York,Freelance commercial real estate reporter. Mostly NYC. .,"#Vornado hits new post-#pandemic low as market fails to love Roth's faith in #PennStation upgrade, worries that folks won't re-fill offices. In March, Roth saw stock as 'stupid cheap,' confident in rebound. #NYC #realestate #CRE $VNO https://t.co/aLvRtRWu4t via @CrainsNewYork"
1537165426114838528,2022-06-15 20:09:31+00:00,JoeDunc76194180,,,"RT @AdamLaxalt: Nevadans are being crushed under @CortezMasto &amp; @JoeBiden’s leadership:

❌Inflation levels at their worst
❌2nd highest gas…"
1537165411925499907,2022-06-15 20:09:28+00:00,AdayGeron,Uranus,"MAGA Pro-Life DeepSouth Trump-Country
USAF VET Constitutionalist 2A
Love anyone who Hates Abortion
DEFIANT","RT @AdamLaxalt: Nevadans are being crushed under @CortezMasto &amp; @JoeBiden’s leadership:

❌Inflation levels at their worst
❌2nd highest gas…"
1537165411816394753,2022-06-15 20:09:27+00:00,starbaby_kox,乃木坂,"それぞれの椅子






　　　　　　　　　アイコンfromいぬまんさん
@inuman_kabu",RT @CNBC: Stocks rallied after the Fed hiked rates by 75 basis points — its largest increase since 1994 — and signaled it could raise rates…
1537165407894876161,2022-06-15 20:09:27+00:00,mcrownover,"Raleigh, NC","Proud Boomer 
#LetsGoBrandon
#SayNoToJoe",@OleGelo5 @WendellHusebo @POTUS March 2020 stock market had zero to do with Trump or his policies.
1537165380610928640,2022-06-15 20:09:20+00:00,thegarbagesite,,only kidding,"Rest assured .75 is off the table. The stock market can go back up now 😊

*Market tanks anyway because Powell clearly doesn’t know what the fuck he’s doing. Highest CPI in 4 decades*

I’m sorry I’m sorry .75 is ON the table. The market can go up now?? $SPY https://t.co/5guAnGaxOx"
1537165345714327553,2022-06-15 20:09:12+00:00,Econdixon,"Cardiff, Wales","Economist who likes things done correctly. Currently at Cardiff, previously York, Essex, London.  PhD Oxford with Sir James Mirrlees. RT not endorsement.",RT @CNBC: Stocks rallied after the Fed hiked rates by 75 basis points — its largest increase since 1994 — and signaled it could raise rates…
1537165344439148546,2022-06-15 20:09:11+00:00,dipdadddy,,,Any and everything I know about the stock market and trading has come from @MasterBJones and @rauItrades. Give them a follow and turn on notifications for life-changing knowledge. Then commit their trading system to heart: https://t.co/84KDmf9GZc
1537165329402576899,2022-06-15 20:09:08+00:00,ObhibaJK,"Greater Accra, Ghana","Media Personality 🎤 
Sound engineer @Kantanka TV 📺 
News caster 📕 
News editor 💻 
Open for advertisements 👕 👠",RT @CNBC: Stocks rallied after the Fed hiked rates by 75 basis points — its largest increase since 1994 — and signaled it could raise rates…
