id,created_at,news
1536815784600772610,2022-06-14 21:00:10+00:00,"""Squid Game: The Challenge"" is set to offer the largest cash prize in reality TV history. https://t.co/TWc3azRKnF"
1536808230462144514,2022-06-14 20:30:09+00:00,Catnip isn't just intensely pleasurable for cats. It's also practical. https://t.co/DGV87tXTvL
1536786642475827203,2022-06-14 19:04:22+00:00,"Many mountaineers will tell you that climbing down Mount Everest is harder than climbing up.

But South African Pierre Carter has come up with a breathtaking, death-defying workaround: hang gliding his way back to the bottom. https://t.co/rxekC3YNsz"
1536780861139570688,2022-06-14 18:41:23+00:00,"As the heat and humidity rise, iced tea seems like the perfect antidote for sticky weather.  https://t.co/JKQWouKxm3"
1536775195939246082,2022-06-14 18:18:53+00:00,"A male mastodon died fighting with a rival during mating season about 13,200 years ago in what is now northeast Indiana. Now, his well-preserved fossil and tusks reveal not only how the 8-ton adult died, but also where he trekked across North America. https://t.co/rzYoLCNNxf"
1536769548006850564,2022-06-14 17:56:26+00:00,"BTS will be pressing pause to pursue solo projects, the K-Pop group announced Tuesday. https://t.co/6Df3fHCsY2"
1536767610267762688,2022-06-14 17:48:44+00:00,England captain Harry Kane has said he has discussed taking a unified stance on the human rights issues surrounding this year's men's World Cup in Qatar with Denmark's Christian Eriksen and France captain Hugo Lloris https://t.co/p4XWxST48d
1536762351604613122,2022-06-14 17:27:50+00:00,A recent study found many moderate drinkers above age 30 actually end up binging on the weekend -- defined as five or more drinks in a row or within a short period of time. Here's why it may be a health problem. https://t.co/oQVwGLvFRX
1536757177683255298,2022-06-14 17:07:17+00:00,Lizzo announced she has edited one of her songs after complaints from some in the disabled community https://t.co/IyQ1TZspOy
1536751646054699009,2022-06-14 16:45:18+00:00,"Drinking a Jack and Coke is about to become, somehow, even easier.
https://t.co/kyBRp0vgmD"
1536746739197259776,2022-06-14 16:25:48+00:00,"June’s full moon, the strawberry moon, will illuminate the sky this week.
https://t.co/7FbbG1qBGH"
1536741084256165889,2022-06-14 16:03:20+00:00,Here's what it might be like to travel on a double decker airplane seat https://t.co/5BVBZgPGBt
1536735587864039426,2022-06-14 15:41:29+00:00,Seven-time Wimbledon champion Serena Williams will make her much-anticipated return to the grass courts of SW19 when the tournament kicks off later this month https://t.co/2YNjDw5w37
1536730083209134081,2022-06-14 15:19:37+00:00,"Pope Francis has said that the war in Ukraine ""was perhaps in some way either provoked or not prevented"" in remarks published by Italian newspaper La Stampa https://t.co/T0E6dnxnzo"
1536726434374361089,2022-06-14 15:05:07+00:00,Justin Bieber has shared a faith-filled update about a rare medical condition that has resulted in one side of his face being paralyzed https://t.co/swKbrcu6SB
1536721774452391938,2022-06-14 14:46:36+00:00,"After hosting student survivors of the 1994 genocide for nearly three decades, Hope Hostel will be the first home for migrants deported from the United Kingdom https://t.co/62czAer4hv"
1536716305209954304,2022-06-14 14:24:52+00:00,"💤 More than a third of Americans get less than the minimum recommendation of seven hours sleep a night, according to the US CDC.

We spoke to three sleep experts to find out what you should do if you wake up before your alarm goes off 👇
https://t.co/fL9v4a0tPp"
1536710997917958145,2022-06-14 14:03:47+00:00,"For the first time, the Hubble Space Telescope has detected a lone object drifting through our Milky Way galaxy -- the invisible, ghostly remains of a once radiant star https://t.co/fbzPX7dF6J"
1536705898969718785,2022-06-14 13:43:31+00:00,"Under the amendment to the country's penal code offenders convicted of online insults can be jailed for up to one year, or fined 300,000 yen (about $2,200) https://t.co/DXd5gZbYXR"
1536700576209285123,2022-06-14 13:22:22+00:00,"While other artists might use watercolors or oil paints, Mbongeni Buthelezi uses waste plastics to create highly textured portraits https://t.co/UGPR39sLr4"
1536695699273879552,2022-06-14 13:02:59+00:00,Amber Heard has spoken out about everything from the public's treatment of her during her defamation trial with ex-husband Johnny Depp to whether she was telling the truth about his alleged abuse https://t.co/z0PYxvAJwT
1536690728088346624,2022-06-14 12:43:14+00:00,"President Biden will visit Saudi Arabia next month, despite vowing earlier to make the kingdom a ""pariah"" over journalist Jamal Khashoggi's murder https://t.co/FCd5RLy7aZ"
1536688842127953920,2022-06-14 12:35:44+00:00,An Australian teenager has been charged with gun offenses after police seized a fully functioning firearm he allegedly made at home with a 3D printer https://t.co/TKDIM87V3i
1536683966622846979,2022-06-14 12:16:22+00:00,Post Malone is a dad. https://t.co/y47iedFqjp
1536678939296505856,2022-06-14 11:56:23+00:00,"A turtleshell-shaped box and a sacrificial altar are among a treasure trove of 13,000 relics dating back over 3,000 years discovered by archaeologists in southwest China https://t.co/vou6sgGCNZ"
1536673540581249025,2022-06-14 11:34:56+00:00,"A dreamy, uniquely designed cathedral in Europe that's been under construction since 1882 is the top attraction in the world for 2022, according to Tripadvisor's reviewers https://t.co/LJVTqPgjvA"
1536668180235575298,2022-06-14 11:13:38+00:00,"💤 More than a third of Americans get less than the minimum recommendation of seven hours sleep a night, according to the US CDC.

We spoke to three sleep experts to find out what you should do if you wake up before your alarm goes off 👇
https://t.co/0pPtLAXWHJ"
1536655233182482432,2022-06-14 10:22:11+00:00,"More than 11 years after Japan's worst nuclear disaster, the government has lifted evacuation orders in a section of a village previously deemed off limits https://t.co/2Cce3Pym41"
1536650276018470912,2022-06-14 10:02:30+00:00,"A turtleshell-shaped box and a sacrificial altar are among a treasure trove of 13,000 relics dating back over 3,000 years discovered by archaeologists in southwest China https://t.co/Ud1YaRnbr3"
1536645436970262528,2022-06-14 09:43:16+00:00,"Under the amendment to the country's penal code offenders convicted of online insults can be jailed for up to one year, or fined 300,000 yen (about $2,200) https://t.co/vsQP7zNwYa"
1536640050292834304,2022-06-14 09:21:52+00:00,An Australian teenager has been charged with gun offenses after police seized a fully functioning firearm he allegedly made at home with a 3D printer https://t.co/gm3Sl4iWra
1536634634720759808,2022-06-14 09:00:20+00:00,"Nancy Crampton-Brophy, author of the essay ""How to Murder Your Husband,"" was sentenced to life in prison Monday for the murder of her husband https://t.co/CPCLmiIXrS"
1536627040954290180,2022-06-14 08:30:10+00:00,See the severe flooding that shut down Yellowstone National Park. https://t.co/MMjadrHxxT https://t.co/AfVQSqSjU4
1536619505471868929,2022-06-14 08:00:13+00:00,"Many mountaineers will tell you that climbing down Mount Everest is harder than climbing up.

But South African Pierre Carter has come up with a breathtaking, death-defying workaround: hang gliding his way back to the bottom. https://t.co/vA5EA1i8pH"
1536611935021572097,2022-06-14 07:30:08+00:00,Post Malone is a dad. https://t.co/hpTqI7MXP6
1536604385249222656,2022-06-14 07:00:08+00:00,"At least 610 children were documented as having been sexually abused by Catholic priests between 1945 and 2020 in the diocese of the west German city of Münster, according to a study released Monday. https://t.co/WxCRLg3El4"
1536596844779814912,2022-06-14 06:30:11+00:00,Gorillas chase unwanted guest in zoo enclosure. https://t.co/RBMcX8LYbt https://t.co/azXlnNIXFt
1536589311927255040,2022-06-14 06:00:15+00:00,"The environmental review approval, however, doesn't guarantee that the FAA will give SpaceX a launch license, which will involve a safety and risk assessment. That's still under review. https://t.co/WLgJK75wuV"
1536574197199249408,2022-06-14 05:00:11+00:00,"June’s full moon, the strawberry moon, will illuminate the sky this week.
https://t.co/QI1IfX2k1w"
1536559090712907776,2022-06-14 04:00:09+00:00,"Drinking a Jack and Coke is about to become, somehow, even easier.
https://t.co/ICxpRuale9"
1536544001452658689,2022-06-14 03:00:12+00:00,"Several months after older children became eligible to get vaccinated against Covid-19, the United States might be just days away from offering vaccines to those younger than 5. https://t.co/gamDgqEHwH"
1536540039492120578,2022-06-14 02:44:27+00:00,Australia's dancing substitute goalkeeper Andrew Redmayne saved the last penalty to clinch a place at this year's World Cup in Qatar. https://t.co/vc7CGJ13mJ
1536528915321192455,2022-06-14 02:00:15+00:00,"The US Centers for Disease Control and Prevention on Monday placed three new destinations in its 'high' risk category for Covid-19, including a North American travel behemoth. https://t.co/Eb32cqj54X"
1536513803348852736,2022-06-14 01:00:12+00:00,"US national security adviser Jake Sullivan met in Luxembourg on Monday with the top Chinese diplomat for a ""candid, substantive, and productive discussion"" at a tense moment between their two countries, according to the White House. https://t.co/mZrjhvlNj8"
1536498744941764609,2022-06-14 00:00:22+00:00,A recent study found many moderate drinkers above age 30 actually end up binging on the weekend -- defined as five or more drinks in a row or within a short period of time. Here's why it may be a health problem. https://t.co/9ltqmIEVR5
1536483634538061824,2022-06-13 23:00:19+00:00,"As the heat and humidity rise, iced tea seems like the perfect antidote for sticky weather.  https://t.co/DIMYA16nKT"
1536468481528549377,2022-06-13 22:00:06+00:00,Canadian Prime Minister Justin Trudeau tweeted Monday he has tested positive again for the virus that causes Covid-19. https://t.co/hzXWDcNIV8
1536453421116575745,2022-06-13 21:00:16+00:00,The Rolling Stones have canceled a concert in Amsterdam after lead singer Mick Jagger contracted Covid-19. https://t.co/cdUVY3ncuj
1536445851123449866,2022-06-13 20:30:11+00:00,"A male mastodon died fighting with a rival during mating season about 13,200 years ago in what is now northeast Indiana. Now, his well-preserved fossil and tusks reveal not only how the 8-ton adult died, but also where he trekked across North America. https://t.co/2sJKoaNGPW"
1536438331604897792,2022-06-13 20:00:18+00:00,"The vanished British journalist and Indigenous affairs expert who went missing in a remote region of the Amazon are unlikely to be found alive, Brazilian President Jair Bolsonaro said on Monday, adding that he believes some ""malice"" was done to them. https://t.co/4dlDKtoApl"
1536430757123485696,2022-06-13 19:30:12+00:00,The United Kingdom's controversial plan to send asylum-seekers to Rwanda as early as Tuesday is set to go ahead after the Court of Appeal in London confirmed an earlier decision to deny an injunction to block the first flight. https://t.co/0ZqHLcinLB
1536423229853773824,2022-06-13 19:00:18+00:00,"The unusual starquakes are among multiple new discoveries made by Gaia, a mission launched in 2013 to create the ""most accurate and complete multi-dimensional map of the Milky Way."" https://t.co/0KSWr6x2HJ"
1536415678755966977,2022-06-13 18:30:17+00:00,"After eight months of political paralysis, the kingmaker of Iraqi politics has ordered his bloc to withdraw from parliament. https://t.co/hqRGcfPaEA"
1536411898127822848,2022-06-13 18:15:16+00:00,Kevin Spacey is set to appear before a UK court later this week after being charged with four counts of sexual assault against three men. https://t.co/UUkt0Ug3uK
1536408107584200704,2022-06-13 18:00:12+00:00,"In a time when traumatic events such as pandemics, shootings and loss seem never-ending, mindfulness can be a tool for feeling capable during periods of uncertainty. https://t.co/6S5lTptEKZ"
1536400556020875264,2022-06-13 17:30:12+00:00,"Kyiv’s population dwindled from 4 million to just 1 million at the height of the conflict but is back to 3 million, according to local officials. https://t.co/KGQ5bg3xXZ"
1536370371774910464,2022-06-13 15:30:15+00:00,"Drinking a Jack and Coke is about to become, somehow, even easier.
https://t.co/jzWzLcrcke"
1536359010969976833,2022-06-13 14:45:07+00:00,"US stocks plunged into bear market territory as Wall Street investors grew increasingly nervous about the prospect of even more harsh medicine from the Fed to take the sting out of inflation.
https://t.co/S7OwNtbfbH"
1536355268455542788,2022-06-13 14:30:14+00:00,"Jennifer Hudson made history Sunday night
https://t.co/BCLqtwaLAr"
1536351454130229248,2022-06-13 14:15:05+00:00,"Rory McIlroy appeared to take a dig at Greg Norman, the former golfer and now CEO of the new LIV Golf series, after the Northern Irishman successfully defended his 2019 title at the RBC Canadian Open.
https://t.co/5blByWkK5q"
1536347704984469504,2022-06-13 14:00:11+00:00,"It’s one of the ultimate tests of man against beast -- and over the weekend a Briton got the better or his four-legged rival
https://t.co/ZYdPW0gVPx"
1536343913450983426,2022-06-13 13:45:07+00:00,"Amber Heard is speaking out in her first interview since her defamation trial with her former husband, Johnny Depp
https://t.co/39otHzKTuD"
1536332620644098050,2022-06-13 13:00:15+00:00,"Bitcoin and other cryptocurrencies have plunged, and one of the world’s biggest lenders of cryptocurrency has paused all withdrawals from its platform
https://t.co/DaKBGLWmNG"
1536321264784121857,2022-06-13 12:15:07+00:00,"Hall, originally from Edinburgh, set off from Siena, Italy with his horse Sasha and the pair have since made their way through Tuscany to the Ligurian mountains
https://t.co/ueKG1oCesr"
1536317494629105665,2022-06-13 12:00:08+00:00,"The world’s biggest powers might have once pledged to work toward a world without nuclear weapons, but global stockpiles are expected to rise over the coming decade
https://t.co/v6KKLdWl6b"
1536313706652606464,2022-06-13 11:45:05+00:00,"June’s full moon, the strawberry moon, will illuminate the sky this week.
https://t.co/NS0c8tn19J"
1536306162613858306,2022-06-13 11:15:07+00:00,"Retired Marine Gen. John Allen resigned as president of the Brookings Institution amid a federal investigation into whether he lobbied the US government on behalf of Qatar during the Trump administration
https://t.co/93UDr7V7Qe"
1536291055070478336,2022-06-13 10:15:05+00:00,"China is urging college graduates to seek jobs in the countryside as youth unemployment in urban areas soars to the highest level in history
https://t.co/BsPwDlxbZ4"
1536283521798529024,2022-06-13 09:45:09+00:00,"French President Emmanuel Macron's centrist alliance won the first round of lower house elections by a razor-thin margin over the left bloc of Jean-Luc Melenchon, but is likely to extend its lead in next weekend's second-round runoff
https://t.co/wkI10WMPtZ"
1536280225985662976,2022-06-13 09:32:03+00:00,"Graphic video of men stomping on a woman’s head shakes China to the core | Analysis by Nectar Gan 
https://t.co/wgFxyBBNFz"
1536275982474260481,2022-06-13 09:15:11+00:00,"South Korean petrochemical firms joined the automobile and steel makers in cutting operations due to mounting inventories -- as transport disruptions from a strike by truckers spread quickly across Asia’s manufacturing powerhouse 
https://t.co/aa8HH6UHio"
1536272213711650818,2022-06-13 09:00:12+00:00,"Sri Lanka may be compelled to buy more oil from Russia as the nation faces shortages amid an unprecedented economic crisis
https://t.co/qeaSsRzhdx"
1536268412078399488,2022-06-13 08:45:06+00:00,"Zhang Daqian may not be a household name in the West, but in China -- and the global art market at large -- he is on par with the likes of Warhol and Monet.
https://t.co/E2HH6Isuu9"
1536267154521305089,2022-06-13 08:40:06+00:00,"Ukrainian forces pushed back from center of Severodonetsk, says military
https://t.co/PFVFs5QHYB"
1536264660768407553,2022-06-13 08:30:12+00:00,"Authorities in India’s Uttar Pradesh state have demolished the homes of several people accused of involvement in riots triggered by derogatory remarks made by ruling party figures about Islam’s Prophet Mohammad 
https://t.co/z9LrqLSTLc"
1536257112589930496,2022-06-13 08:00:12+00:00,The end of the Jurassic era arrived with a deafening roar at the box office. https://t.co/spf1xxlf4y
1536249557176045568,2022-06-13 07:30:11+00:00,"Why won't Americans use the metric system? In short, American exceptionalism. https://t.co/0Qr9SBxaXs"
1536241988831682560,2022-06-13 07:00:06+00:00,"Before Dave Thomas passed away in 2002, he regretted his decision to name the fast-food empire after his daughter, even apologizing to her later on in his life. https://t.co/SZdOIHTULf"
