effectiveness,depth,time
0.0948987, 25, 125
0.0948987, 25, 117
0.0948987, 25, 115
0.0950893, 25, 115
0.0948987, 25, 114
0.0948987, 25, 121
0.0948987, 25, 116
0.0948987, 25, 116
0.0948987, 25, 122
0.0948987, 25, 114
0.0948567, 25, 109
0.0950893, 25, 116
0.0950893, 25, 120
0.0948987, 25, 122
0.0948987, 25, 115
0.0948987, 25, 122
0.0948987, 25, 121
0.0948987, 25, 122
0.0948987, 25, 118
0.0948987, 25, 125
0.0948987, 25, 119
0.0948987, 25, 127
0.0948987, 25, 120
0.0948987, 25, 127
0.0948987, 25, 127
0.0948987, 25, 122
0.0948987, 25, 121
0.0948987, 25, 125
0.0948987, 25, 125
0.0948987, 25, 119
