effectiveness,depth,time
0.133533, 195, 132
0.120076, 209, 72
0.0464126, 189, 64
0.084737, 197, 128
0.0840839, 177, 85
0.0897026, 187, 89
0.0764764, 225, 92
0.0922694, 185, 70
0.0987288, 236, 78
0.0569838, 209, 84
0.0506324, 182, 58
0.12244, 189, 84
0.0717932, 229, 78
0.11589, 210, 89
0.0875064, 215, 75
0.0649251, 195, 52
0.0793408, 187, 59
0.0483977, 236, 34
0.0501658, 208, 73
0.0612946, 173, 66
0.0544027, 198, 85
0.0384108, 204, 56
0.111498, 173, 70
0.0916065, 196, 50
0.0621964, 182, 46
0.0860739, 180, 51
0.0771702, 165, 72
0.112708, 170, 102
0.054799, 151, 37
0.0655962, 172, 51
