effectiveness,depth,time
0.0297019, 447, 43
0.0263923, 485, 182
0.0298496, 477, 47
0.023317, 479, 55
0.037299, 436, 44
0.0306194, 465, 57
0.0351553, 430, 146
0.0364518, 445, 61
0.0381917, 463, 121
0.0362265, 429, 56
0.0417954, 458, 50
0.0346239, 428, 71
0.0263991, 469, 36
0.0388435, 486, 65
0.0216578, 429, 86
0.0341937, 467, 62
0.0269458, 521, 48
0.044386, 425, 76
0.0269991, 489, 53
0.036229, 464, 81
0.0309301, 461, 71
0.0397818, 492, 65
0.0201308, 433, 129
0.0324067, 439, 106
0.0402113, 419, 142
0.0266847, 428, 48
0.031237, 451, 105
0.0367991, 463, 126
0.0262115, 515, 59
0.0385134, 431, 72
