effectiveness, depth, time
0.0317626, 24, 18
0.0251895, 4, 77
0.032145, 23, 35
0.0253664, 4, 71
0.0282365, 21, 40
0.0230188, 39, 49
0.0230188, 39, 86
0.0257083, 9, 39
0.0241465, 32, 9
0.0230188, 39, 34
0.0277809, 25, 34
0.0289255, 10, 20
0.0230188, 39, 28
0.0230188, 39, 54
0.0230188, 39, 49
0.0256965, 32, 48
0.0230188, 39, 72
0.0230188, 39, 118
0.0230416, 39, 90
0.0234082, 10, 43
0.0242674, 35, 19
0.0358268, 5, 30
0.0233405, 3, 54
0.0230188, 38, 45
0.0333832, 18, 40
0.0231013, 32, 66
0.0277145, 6, 27
0.0230188, 39, 62
0.0319994, 31, 28
0.0303938, 27, 46
