effectiveness,depth,time
0.0121766, 39, 76
0.0121766, 39, 71
0.0121766, 39, 70
0.0121766, 39, 71
0.0121766, 39, 71
0.0121766, 39, 70
0.0121766, 39, 70
0.0121766, 39, 70
0.0121766, 39, 71
0.0121766, 39, 70
0.0121897, 39, 71
0.0121766, 39, 70
0.0121766, 39, 71
0.0121897, 39, 71
0.0121766, 39, 72
0.0121897, 39, 71
0.0121766, 39, 71
0.0121766, 39, 70
0.0121791, 39, 70
0.0121766, 39, 70
0.0121766, 39, 71
0.0121766, 39, 70
0.0121766, 39, 71
0.0121897, 39, 70
0.0121766, 39, 71
0.0121897, 39, 70
0.0121766, 39, 70
0.0121791, 39, 70
0.0121766, 39, 71
0.0121766, 39, 72
