effectiveness,depth,time
0.0951862, 25, 76
0.0946868, 25, 54
0.0951862, 25, 55
0.0951862, 25, 48
0.0951862, 25, 57
0.0952651, 25, 47
0.0946868, 25, 50
0.0946868, 25, 51
0.0951905, 27, 51
0.0946868, 25, 48
0.0952651, 25, 50
0.0955499, 25, 49
0.0951862, 25, 51
0.0952651, 25, 47
0.0951862, 25, 52
0.0949642, 25, 49
0.0951862, 25, 51
0.0946868, 25, 52
0.0951862, 25, 48
0.0946868, 25, 51
0.0955499, 25, 47
0.0951862, 25, 51
0.0951862, 25, 48
0.0951862, 25, 51
0.0951862, 25, 51
0.0951862, 25, 48
0.0951862, 25, 52
0.0946868, 25, 47
0.0949642, 25, 52
0.0951862, 25, 51
