effectiveness,depth,time
0.0855059, 37, 14
0.0851109, 37, 14
0.0879152, 38, 14
0.0851109, 38, 13
0.0853169, 38, 14
0.0851109, 38, 15
0.0851109, 38, 13
0.0851109, 37, 14
0.0856507, 38, 14
0.0872231, 38, 15
0.0851109, 38, 13
0.0876502, 36, 15
0.0851109, 38, 14
0.0851109, 38, 14
0.0851319, 38, 14
0.0872167, 37, 13
0.085111, 38, 13
0.0884008, 38, 14
0.085111, 38, 13
0.0851109, 38, 15
0.0851109, 38, 14
0.0851109, 38, 13
0.0851109, 38, 14
0.0851109, 38, 13
0.0851109, 38, 15
0.0866601, 38, 14
0.0852881, 37, 13
0.0851109, 37, 14
0.0873025, 37, 14
0.0851109, 38, 13
