effectiveness,depth,time
0.0306248, 36, 12
0.0313583, 38, 13
0.0315831, 32, 13
0.0389552, 23, 14
0.0331611, 17, 15
0.0274214, 37, 13
0.0284657, 30, 15
0.0340428, 5, 23
0.0514856, 14, 18
0.0291087, 27, 13
0.0280816, 30, 13
0.0297838, 31, 12
0.0303105, 10, 19
0.031178, 16, 14
0.0297353, 37, 11
0.0298276, 37, 21
0.0288159, 34, 22
0.0310577, 38, 19
0.0294635, 36, 11
0.0305151, 28, 11
0.0283009, 32, 11
0.0323386, 32, 13
0.031314, 38, 14
0.031489, 13, 14
0.029003, 33, 11
0.0302645, 32, 12
0.032958, 33, 12
0.0325399, 7, 23
0.0302014, 29, 12
0.0301734, 37, 15
