effectiveness,depth,time
0.0361824, 40, 265
0.0344857, 43, 217
0.0344857, 43, 210
0.0344857, 43, 196
0.0344857, 43, 191
0.0344857, 43, 188
0.0344857, 43, 188
0.0345163, 42, 196
0.0344857, 43, 177
0.0344857, 43, 181
0.0344857, 42, 178
0.0344857, 43, 178
0.034486, 42, 200
0.0344857, 43, 177
0.0359331, 43, 209
0.0351037, 43, 212
0.0344857, 43, 203
0.0344857, 42, 187
0.0344857, 43, 212
0.0344857, 43, 184
0.0344857, 43, 185
0.0344893, 43, 210
0.0346534, 43, 218
0.0344857, 43, 198
0.0344857, 43, 218
0.0344857, 43, 187
0.0344857, 42, 211
0.0344857, 43, 183
0.0345928, 43, 195
0.034521, 41, 193
