effectiveness, depth, time
0.0140138, 41, 392
0.0140138, 41, 107
0.0156819, 7, 115
0.0150466, 3, 333
0.0140138, 41, 120
0.0146369, 12, 58
0.0140138, 41, 218
0.0149902, 6, 102
0.0140138, 41, 173
0.0156717, 7, 78
0.0163096, 5, 349
0.0229036, 18, 82
0.0152233, 21, 22
0.0150452, 41, 386
0.0148643, 23, 83
0.0189317, 23, 70
0.0140138, 41, 365
0.0151123, 4, 282
0.0140138, 41, 197
0.0140138, 41, 274
0.0140138, 41, 483
0.0140138, 41, 321
0.0140138, 41, 110
0.0155865, 8, 78
0.0141809, 37, 84
0.0140138, 41, 64
0.0148712, 5, 221
0.0140138, 41, 205
0.0168743, 32, 230
0.0151572, 21, 87
