effectiveness,depth,time
0.0167083, 696, 264
0.0211795, 742, 296
0.0168181, 774, 257
0.0168687, 726, 242
0.0191437, 755, 277
0.0283809, 763, 441
0.0258873, 747, 292
0.0228844, 719, 208
0.0274422, 690, 294
0.0255831, 732, 272
0.0193069, 753, 108
0.0238727, 799, 266
0.0250356, 784, 186
0.0186005, 743, 126
0.0157901, 757, 318
0.0211791, 746, 263
0.0142374, 730, 231
0.0188214, 725, 250
0.0209543, 747, 280
0.0218118, 756, 297
0.019339, 697, 222
0.016406, 815, 198
0.0151714, 740, 206
0.0177395, 765, 297
0.0185393, 730, 182
0.0190651, 759, 272
0.0163169, 753, 271
0.0270697, 713, 193
0.0203759, 752, 233
0.0339053, 800, 336
