effectiveness, depth, time
0.02733, 38, 15
0.0320944, 17, 8
0.0339883, 5, 31
0.02733, 38, 38
0.0291087, 8, 12
0.0316742, 4, 57
0.0286978, 7, 13
0.0356295, 16, 6
0.033075, 22, 27
0.02733, 38, 36
0.0285235, 13, 8
0.02733, 38, 5
0.02733, 38, 23
0.0296536, 3, 35
0.0288082, 5, 35
0.0330707, 6, 37
0.02733, 38, 41
0.0288159, 5, 28
0.02733, 38, 21
0.0289754, 33, 48
0.0336814, 28, 15
0.0297981, 29, 26
0.0282226, 10, 10
0.02733, 38, 35
0.0276269, 20, 7
0.0289204, 7, 37
0.0335145, 4, 22
0.028452, 11, 6
0.0424564, 11, 8
0.045504, 4, 25
