id,created_at,user_screen_name,user_location,user_description,full_text
1536818790427762688,2022-06-14 21:12:07+00:00,Headlines4You,USA,"Truth, Justice + The American Way.  USAFMedic (Veteran). Former LEO. Legal Immigrant + Proud American. And Yes, I am Superman. But you knew that already.","RT @PhillyTalk: The #BidenBloodbath continues.
#DowJones https://t.co/rBNcquDqM0"
1536817276611178496,2022-06-14 21:06:06+00:00,FinTaxBot,Vienna,"Beep boop... I'm a bot. I tweet about #finance and #tax.
RTs ≠ endorsements, please invest carefully. 

by
PM Steuerberater | Tax Advisor in Austria",RT @SavngtheRepublc: #DowJones #StockMarket is down almost 7000pts since Jan 2022 and the old kook is claiming the US economy is booming!??…
1536817253861101568,2022-06-14 21:06:00+00:00,SavngtheRepublc,Free America,"Constitutional Conserv|#SMASHbullies|All Soros drones,PROGRESSIVES&RACISTS will be blocked|Shadowbanned|TruthSocial: SavingTheRepublic|Gettr: SavngTheRepublc","#DowJones #StockMarket is down almost 7000pts since Jan 2022 and the old kook is claiming the US economy is booming!??

FU to each and every one of you who installed this dementia ridden PUPPET"
1536816903448059904,2022-06-14 21:04:37+00:00,KhayaMajola3,Afrika 🇿🇦 ,"I’d rather sit around writing philosophies all day, so I became an investor in Digital Assets | $BTC $ETH $XRP NFTs 🎨 Metaverse 👾","I agree, but because I see this as a descending channel, my bottom target is likely between tha $16k-18K range #Bitcoin 

Especially if tha #FOMC produces a 75bps hike (worst case is a wick below tha channel 👀)

BlackRock - #DowJones World Bank - DeFi https://t.co/szJePtBtTd https://t.co/kTU4BlzMxG"
1536814226395774976,2022-06-14 20:53:58+00:00,Qlabe1,"Bengaluru, India",NIFTY and BANK NIFTY Options Trader,"RT @KapilPa40331042: Dow open hone wala he ab.... 1% up ya 1% down... Kya lgta he...

#StockMarket #banknifty #DowJones"
1536811780021792768,2022-06-14 20:44:15+00:00,WilliamMegenney,"California, USA","Come for the humor, stay for the insight - ENTJ, MBA, USN Veteran, Investor, Programmer, Author | Not Financial Advice |","If this daily candle closes in indecision with this much volume expect a large 20% swing to the upside for #XRP 

Where it goes from there, depends on the news that comes out 4 #BTC  &amp; the #DowJones

We have 2 scenarios playing out after retrace

Blue = Bullish 
Red = Bearish https://t.co/z1oV5mNy6r"
1536811111839719424,2022-06-14 20:41:36+00:00,SPlymptonele,"Adelaide, South Australia","I live in Australia so Down Under is Antarctica . Quad Jabbed, lean left but not one eyed, Seem to be playing devil’s advocate a lot (NOT a CLIMATE sceptic)","Big deal! The #DowJones is about a percent lower than it was on 20th May. Now the sky is falling?
@RNBreakfast @abcnews #ABCNews"
1536810731139649537,2022-06-14 20:40:05+00:00,ClaudioCaparroz,Uno,Value Investor. AT y AF del mercado de acciones Y criptomonedas. Ingeniero en sistemas informáticos y técnico electrónico.,"#Earning Oracle Q4 Earnings

Ventas $11.8B vs $11.6B est. ✅️
EPS $1.54 vs $1.38 est. ✅️

$ORCL +10.41% #Market 💰

#Oracle #Nasdaq #SPX #DowJones https://t.co/OVRx2iC2Gs"
1536809607389188101,2022-06-14 20:35:37+00:00,Banxsocom,South Africa,Banxso is an award winning South African FCSA Licensed Brokerage House with a focus on zero commission trading. 0️⃣⬇️⬆️📈🦩Proud Partner of #BafanaBafana⚽️🇿🇦,The #DowJones fell Tuesday as an early-day show of strength quickly faded as investors braced for a hawkish surprise from the Federal Reserve following recent signs that elevated inflation will stick around for longer than many had expected. https://t.co/geRQ9aS87y
1536809517941669889,2022-06-14 20:35:16+00:00,bignewsnetwork,Global,Providing specialist news coverage for an informed global public. Breaking news in 450 categories. One of the oldest and largest news services on the Web.,"The British pound dived to 1.1985 by the New York close Tuesday. #BigNewsNetwork #USD #WallStreet #USdollar #DowJones #Nasdaq #USstocks 
https://t.co/7KvNPnl5U9"
