id,created_at,user_screen_name,user_location,user_description,full_text
1536819776022097920,2022-06-14 21:16:01+00:00,1nmemoriam,"Berlin, Germany",Monitor Natural disaster related twitter activity to feed In Memoriam interactive installation,"RT @RuthMillington1: The power of nature. Amazing footage.

#nature #Yellowstone
#naturaldisaster #flooding

BBC News - Yellowstone buildin…"
1536814335082766338,2022-06-14 20:54:24+00:00,RuthMillington1,Wherever Life Takes Me,Award-Winning Writer | 🎧 Extreme Holidays Podcast | Judge 2022 Page Turner Awards | Adventure Traveller | 3xs bravery awardee | Rep'd @jontwood @rcwlitagency,"The power of nature. Amazing footage.

#nature #Yellowstone
#naturaldisaster #flooding

BBC News - Yellowstone building swept away during flooding
https://t.co/IndHM5lfIz"
1536796663821615105,2022-06-14 19:44:11+00:00,NMSDCHQ,"New York, New York","The global leader in advancing Asian, Black, Hispanic and Native American suppliers in the global corporate supply chain","RT @FSMSDC: The SBA provides low-interest disaster loans. 

Learn More: https://t.co/qEVnL76mhM

#FSMSDC #disaster #covid #earthquake #natu…"
1536789578996121601,2022-06-14 19:16:02+00:00,1nmemoriam,"Berlin, Germany",Monitor Natural disaster related twitter activity to feed In Memoriam interactive installation,RT @einstrong: We must build a reliable and resilient energy grid to keep up with demands and have the ability to withstand climate-driven…
1536787938951847936,2022-06-14 19:09:31+00:00,einstrong,"Pasadena, California",EinStrong is a not-for-profit foundation started in 2019. Consisting of highly compassionate people from around the nation and world.,"We must build a reliable and resilient energy grid to keep up with demands and have the ability to withstand climate-driven disasters.

#climatechange #ClimateCrisis #Liberal #Democrat #Republicans #Conservatives #Education #climatenews #naturaldisaster https://t.co/AYEzI4fYmy"
1536744452655554561,2022-06-14 16:16:43+00:00,1nmemoriam,"Berlin, Germany",Monitor Natural disaster related twitter activity to feed In Memoriam interactive installation,"RT @conservcorps: ""I am grateful for everyone there making this trip what it came out to be.""

✍️ Austin Godwin, Iowa Polk Field Crew Membe…"
1536744282069123078,2022-06-14 16:16:02+00:00,1nmemoriam,"Berlin, Germany",Monitor Natural disaster related twitter activity to feed In Memoriam interactive installation,"RT @FSMSDC: The SBA provides low-interest disaster loans. 

Learn More: https://t.co/qEVnL76mhM

#FSMSDC #disaster #covid #earthquake #natu…"
1536740987971813378,2022-06-14 16:02:57+00:00,emergencysewa,Earth,"Retweeting Tweets with #emergency tag.
If anybody lives close to them try to help them.
follow to maximize the reach.

Managed by - @yashkumarspeak","RT @FSMSDC: The SBA provides low-interest disaster loans. 

Learn More: https://t.co/qEVnL76mhM

#FSMSDC #disaster #covid #earthquake #natu…"
1536740943621128197,2022-06-14 16:02:46+00:00,FSMSDC,"Florida, USA",The #FSMSDC is a Not For Profit corporation established to foster the development and expansion of minority-owned businesses.  #Florida #MBE,"The SBA provides low-interest disaster loans. 

Learn More: https://t.co/qEVnL76mhM

#FSMSDC #disaster #covid #earthquake #naturaldisaster #disasterrelief #flood #disasterpreparedness #emergency #fire  #hurricane #disasterrecovery #disasterresponse #climatechange https://t.co/L4dU1u554W"
1536740854651551744,2022-06-14 16:02:25+00:00,conservcorps,Minnesota and Iowa,restoring resources.🌱 changing lives. ⚒ Natural resources positions available for youth and young adults! #CCMIworks #AmeriCorps,"""I am grateful for everyone there making this trip what it came out to be.""

✍️ Austin Godwin, Iowa Polk Field Crew Member

https://t.co/ah981ekHne

#GetThingsDone #FloodResponse #NaturalDisaster https://t.co/LysDAkp1tW"
1536736731747295233,2022-06-14 15:46:02+00:00,1nmemoriam,"Berlin, Germany",Monitor Natural disaster related twitter activity to feed In Memoriam interactive installation,"RT @breaknlinks: Record flooding forces closure of Yellowstone National Park
#YellowstoneTV #YellowstoneNationalPark #nationalparks #Nation…"
1536731425356951552,2022-06-14 15:24:57+00:00,breaknlinks,United States,Media for all- Across the globe,"Record flooding forces closure of Yellowstone National Park
#YellowstoneTV #YellowstoneNationalPark #nationalparks #NationalPark #montanaflooding #idahobit #Wyoming #flooding #Naturaldisaster #BreakingNews #Breakfaststory #Montana
#YellowstoneRiver 
https://t.co/381OErIYnT"
1536683880945750018,2022-06-14 12:16:02+00:00,1nmemoriam,"Berlin, Germany",Monitor Natural disaster related twitter activity to feed In Memoriam interactive installation,"RT @stormadvisor: Here are the facts:
💢 Just 1 donation can save up to 3 lives.
💢 Average red blood cell transfusion is 3 whole-blood donat…"
1536680098950176770,2022-06-14 12:01:00+00:00,stormadvisor,United States,Connect with trusted and certified local pros to help you file your insurance claim and safely restore your home to pre-storm conditions,"Here are the facts:
💢 Just 1 donation can save up to 3 lives.
💢 Average red blood cell transfusion is 3 whole-blood donations.
💢 More than 38,000 blood donations are needed every day.

#naturaldisaster #FEMA #redcross #donateblood #worldblooddonorday https://t.co/EUYwEqnhPh"
1536634460636332032,2022-06-14 08:59:39+00:00,pkhanabi,,❤️🌻🌲⛰️🌊🌈🌏🌙🌞⭐🌌🔭📡🛸👽🙂😺🐶🕊️🐉🍽️☕📸🖼️🎨🎧🎞️📖🔍🙏👼No DM,"RT @Gaia_lmr: ""Gaia"" is the feminine part of Earth symbolized by water. In the container I made, Gaia takes a role in giving birth to a sen…"
1536625326310232067,2022-06-14 08:23:21+00:00,KlausRiede,weltweit,"Zoologist/Entomologist interested in bioacoustics, biodiversity informatics and rainforest bugs. Field work in Ecuador (Amazonia), Argentina, Malaysia (Borneo)","RT @IlanKelman: ""Disaster by Choice""
New in paperback!
https://t.co/oWcxbA8MiS

See also:
-Blog https://t.co/hZMJmbjRlc
-Vlog https://t.co/…"
1536623680649932801,2022-06-14 08:16:49+00:00,1nmemoriam,"Berlin, Germany",Monitor Natural disaster related twitter activity to feed In Memoriam interactive installation,"RT @Gaia_lmr: ""Gaia"" is the feminine part of Earth symbolized by water. In the container I made, Gaia takes a role in giving birth to a sen…"
1536620648562556929,2022-06-14 08:04:46+00:00,Gaia_lmr,the universe,"We are pleased to share with you channeled spiritual messages from the great Spirits of Earth, Sun, and Cosmic Consciousness by Amarie, a Japanese channeler.","""Gaia"" is the feminine part of Earth symbolized by water. In the container I made, Gaia takes a role in giving birth to a sense of life through water. (Terra : Masculine part of Earth Consciousness) #spiritual #NaturalDisaster #ascension https://t.co/YByQSsJjQF"
1536608464008454146,2022-06-14 07:16:21+00:00,gaiapunk, Cascadia 🌊 🌲🏔️ 💙💛,"Senior BD and Growth Manager | Avid cyclist | Webflow Designer | Enjoys making art, dancing & #permaculture design","RT @trevsaucy: 100 year flood in Red Lodge, Montana #flood #montana #naturaldisaster https://t.co/ogD52EXBXt"
1536592247671889922,2022-06-14 06:11:55+00:00,SabitaRKC,,I'm an Indian Woman,"RT @thevisionmax: Intense rains to hit NE again, conditions likely to worsen on June 8, 9

#northeastindia #assam #floods #viral #news #ass…"
1536577600394362881,2022-06-14 05:13:42+00:00,buddystone,Own Private Idaho,"I support a free and skeptical press
Idaho dazed. Get #vaccinated 💉
#Navy #veteran - peace ☮ #BLM
Biden won, get over it!
🇺🇸 🏳️‍🌈 🌏🖋😷
🇺🇦","RT @trevsaucy: More flooding in Red Lodge, Montana #yellowstone #flooding #naturaldisaster #montana https://t.co/2LH1LOKASX"
1536573379368472577,2022-06-14 04:56:56+00:00,liminalfool,"Washington, USA",| 22 | its called chaos bby,"RT @trevsaucy: More flooding in Red Lodge, Montana #yellowstone #flooding #naturaldisaster #montana https://t.co/2LH1LOKASX"
1536570974107074560,2022-06-14 04:47:22+00:00,uber_enigmatic,Laniakea Supercluster,“We're All Just Walking Each Other Home” - Ram Dass 🚶‍♀️💓🚶‍♀️,"RT @trevsaucy: More flooding in Red Lodge, Montana #yellowstone #flooding #naturaldisaster #montana https://t.co/2LH1LOKASX"
1536570634339291136,2022-06-14 04:46:01+00:00,1nmemoriam,"Berlin, Germany",Monitor Natural disaster related twitter activity to feed In Memoriam interactive installation,"RT @trevsaucy: More flooding in Red Lodge, Montana #yellowstone #flooding #naturaldisaster #montana https://t.co/2LH1LOKASX"
1536567228375654400,2022-06-14 04:32:29+00:00,mboboye,,,"RT @lionsclubsIrl: Lions Clubs International Foundation's Campaign 100
The equivalent of $100 provides immediate relief to 4 people in the…"
1536566214004092928,2022-06-14 04:28:28+00:00,med_mederos,,,"RT @trevsaucy: More flooding in Red Lodge, Montana #yellowstone #flooding #naturaldisaster #montana https://t.co/2LH1LOKASX"
1536566151764926465,2022-06-14 04:28:13+00:00,MambaMike13,,"Interested in natural disasters, astronomy, history, science, and many more subjects.","RT @trevsaucy: More flooding in Red Lodge, Montana #yellowstone #flooding #naturaldisaster #montana https://t.co/2LH1LOKASX"
1536565677326184448,2022-06-14 04:26:20+00:00,nameminthamin,,"周震南 | GOT7 | R1SE | INTO1 | TMD | Make my wish come true , jisongjaebum 🔝igot7 n stay 💙🐟🐬💧❄🎐🏊✈ #น่องมิ้นรีวิวกดบัตร #น่องอัพเดท #น่องรีวิว","RT @trevsaucy: More flooding in Red Lodge, Montana #yellowstone #flooding #naturaldisaster #montana https://t.co/2LH1LOKASX"
1536564464056537088,2022-06-14 04:21:30+00:00,trevsaucy,,,"More flooding in Red Lodge, Montana #yellowstone #flooding #naturaldisaster #montana https://t.co/2LH1LOKASX"
1536563086961803264,2022-06-14 04:16:02+00:00,1nmemoriam,"Berlin, Germany",Monitor Natural disaster related twitter activity to feed In Memoriam interactive installation,"RT @Pranyas_Trust: ❤️Special thanks to 
▪️20 Battalion CRPF, Diphu Assam
▪️Assam Police
For helping us out with the entire distribution pro…"
1536562104857047040,2022-06-14 04:12:08+00:00,Pranyas_Trust,,Non Government Organization,"❤️Special thanks to 
▪️20 Battalion CRPF, Diphu Assam
▪️Assam Police
For helping us out with the entire distribution process

#assam #assamflood #flood #landslide #naturaldisaster #relief #campaign #pranyasempowers #pranyas https://t.co/X3MT0dLrf0"
1536541203201609730,2022-06-14 02:49:05+00:00,TKW406,,Montana born & raised. I go places & do stuff. Husband to my wife. Father to our kids. Love my country.  #Proud2B1337,"RT @trevsaucy: 100 year flood in Red Lodge, Montana #flood #montana #naturaldisaster https://t.co/ogD52EXBXt"
1536537329891958789,2022-06-14 02:33:41+00:00,BVaags,Canada ,"🇨🇦 🇳🇱 🇨🇦  former #MCL #HonourGuard🎺 #USMC, #Bullterriers,  support all 🚔🚒🚑🎖️& 🇮🇱","RT @trevsaucy: 100 year flood in Red Lodge, Montana #flood #montana #naturaldisaster https://t.co/ogD52EXBXt"
1536532886609924098,2022-06-14 02:16:02+00:00,1nmemoriam,"Berlin, Germany",Monitor Natural disaster related twitter activity to feed In Memoriam interactive installation,"RT @trevsaucy: 100 year flood in Red Lodge, Montana #flood #montana #naturaldisaster https://t.co/ogD52EXBXt"
1536528706172116992,2022-06-14 01:59:25+00:00,trevsaucy,,,"100 year flood in Red Lodge, Montana #flood #montana #naturaldisaster https://t.co/ogD52EXBXt"
1536525335407255552,2022-06-14 01:46:01+00:00,1nmemoriam,"Berlin, Germany",Monitor Natural disaster related twitter activity to feed In Memoriam interactive installation,"RT @breaknlinks: Yellowstone National Park closes due to flooding and mudslides
#YellowstoneTV #YellowstoneNationalPark #nationalparks #Nat…"
