id,created_at,user_screen_name,user_location,user_description,full_text
1536819194972491776,2022-06-14 21:13:43+00:00,Jibrizyaintshit,,,"RT @saifedean: Even after this huge crash, bitcoin still beats all pretenders for long-term saving

If you spent the last 5 years saving $1…"
1536818835596124162,2022-06-14 21:12:17+00:00,purvirakesh,"Atlanta,GA","Sp500 Futures & stocks, options Trader Now. Past: Manager Big 4 Consulting (Deloitte,KPMG) , https://t.co/zyXf2bJ2AQ","Published on YouTube: Trading Edge EOD- Price action walkthrough S&amp;P500, ES emini &amp; NQ futures regular/Mboxwave 06/14/2022 https://t.co/VAN39rNZdO
#ES_F,#emini,#tradingedge,#mes_f,#NQ_F"
1536818528870928390,2022-06-14 21:11:04+00:00,RightWingEgr,"Wisconsin, USA",This is all Joe Biden’s fault. Invoke the 25th! Impeach giggles. We need a Republican in office now! Fuck Joe Biden,@PSL_WFT @qgunk @Commanders @CapitalPrideDC All of it’s true. S&amp;P500 reached bear market for the first time in several years. And it even fell further today. The dow just has to drop another 4.5% to reach a bear market. Nasdaq hit the bear market 10% before it is now. We are heading towards recession and the only thing to
1536818282778574853,2022-06-14 21:10:05+00:00,seuncoker_,scotland,Luke 18:27,"RT @saifedean: Even after this huge crash, bitcoin still beats all pretenders for long-term saving

If you spent the last 5 years saving $1…"
1536817726986981376,2022-06-14 21:07:53+00:00,rumm4n,Dhaka,,"RT @saifedean: Even after this huge crash, bitcoin still beats all pretenders for long-term saving

If you spent the last 5 years saving $1…"
1536817313873158144,2022-06-14 21:06:14+00:00,AnalyseTf,日本,海外勤務中に母の癌が分かったために退職、帰国。専業トレーダーとして日本株、米国株、先物・OPを扱っていましたが、今は休止。プログラム、会計知識を活かしてのデータ分析、株価予測、営業促進、自動化での問題解決https://t.co/ziWUJ8JjPoにて情報発信中,"[['DOW' 30364.83 -151.91 '-0.5%']
 ['NASDAQ' 10828.35 19.12 '0.18%']
 ['S&amp;P500' 3735.48 -14.15 '-0.38%']
 ['VIX' 32.69 '' '']
 ['Gold' 1806.4 '' '']
 ['Oil' 117.83 '' '']
 ['USDJPY' 135.454 '' '']] https://t.co/VhXMlZpofm"
1536816758438363136,2022-06-14 21:04:02+00:00,toskov,Plovdiv,Investments and analysis. Fun is not left behind.,@BusinessFamous I think lower - maybe 30-35% down of S&amp;P500.
1536816701999808513,2022-06-14 21:03:49+00:00,elias_divine,virtual world 🌍,"nothing but Islam 🤲

CEO of EL-CAPITAN-LOVE","RT @saifedean: Even after this huge crash, bitcoin still beats all pretenders for long-term saving

If you spent the last 5 years saving $1…"
1536816528032555008,2022-06-14 21:03:07+00:00,btc_status,Japan,"Tweet data that will help you consider #BTC price movements.
BTC の値動きの考察に役立つ情報をツイートします。","🇺🇸Btc's Correlation

BTC：$22,487 ↓
S&amp;P500：$3,900 (0.94 ↑)
Nasdaq100：$11,832 (0.96 ↑)
DJI：$31,392 (0.92 ↑)
SOX：$2,832 (0.77 ↑)
GOLD：$1,821 (0.84 ↑)
OIL：$121 (-0.75 ↓)
US02Y：3.366% ↑
US10Y：3.362% ↑
US10Y-US02Y：-0.005% ↓ https://t.co/ckTP0vSGMI"
1536816271668428809,2022-06-14 21:02:06+00:00,Zack67654417,"Philadelphia, PA",,RT @allstarcharts: Our International Hall Of Famers list is composed of the 100 largest US-listed international stocks https://t.co/CfcaAIU…
1536816035810115586,2022-06-14 21:01:10+00:00,FinanceDuck,"New York, USA","Finance Duck provides hard-hitting, cute animal-based analysis of what is driving U.S. financial markets. Also, he's a bot by @timraiswell.","Whatever. I don't even care that the markets finished down.

The S&amp;P500 closed at: 
3,735.48
(-0.38%)

0My analysis concludes that it's because this animals and celebrities: why algae is named after amanda gorman. - slate:
https://t.co/gUtIbohQrC"
1536815904885022721,2022-06-14 21:00:39+00:00,Kory1427,,Instagram: korypiamonte,"RT @unusual_whales: The S&amp;P500 is down nearly 21% year to date.

Meanwhile, the inverse Cramer ETF where you would short his positions woul…"
1536815319171203072,2022-06-14 20:58:19+00:00,Thekkel1,,,"RT @BTC_Archive: Saving in #Bitcoin 73% more profitable over last 5 years versus S&amp;P500 - even after price crash!
- @Saifedean"
1536814824377548800,2022-06-14 20:56:21+00:00,Greenbackd,"Los Angeles, CA 🇺🇲🇦🇺🦘","PM, Acquirers Funds® https://t.co/rjHtXEPHly. Author, The Acquirer's Multiple (https://t.co/84Cyi4G7dv) and Deep Value (https://t.co/5dE6nGGNCJ).","@compound248 Average TR is the market's annualized return from 1879 to date. 9.1%

I use median CAPE from 1879 to date. 16.95x

The red line calculates the annualized return for the S&amp;P500 over the next decade *assuming the ending CAPE is the median CAPE*."
1536814074167713797,2022-06-14 20:53:22+00:00,CryptSugarDaddy,Dubai - UAE 🇦🇪,"Financial freedom is an attainable goal with crypto. 🚀🚀🚀
Be diligent and invest wisely. 
📌 Disclaimer: My tweets are not financial advice 🤞 
DM 4 Business","RT @saifedean: Even after this huge crash, bitcoin still beats all pretenders for long-term saving

If you spent the last 5 years saving $1…"
