id,created_at,news
1536819591053250572,2022-06-14 21:15:17+00:00,Rudolph Giuliani sues Smartmatic to recoup legal fees in Fox News lawsuit https://t.co/04WM5iJRjm https://t.co/hdXMH930dp
1536819516923162624,2022-06-14 21:15:00+00:00,New York's Queens Night Market offers visitors a chance to sample food from around the world https://t.co/xhxnC68SE3
1536818329498931201,2022-06-14 21:10:17+00:00,Traitor or 'patsy'? Ex-CIA coder's WikiLeaks U.S. trial begins https://t.co/QWSSTCJwi8 https://t.co/P43Rrd5uvP
1536818258719956994,2022-06-14 21:10:00+00:00,"A new Ghanaian development bank, backed by funds from African Development Bank and the World Bank, aims to lend $600 million to small businesses over the next one to two years https://t.co/jXFqQGY1Eu https://t.co/m4BrMjAOdE"
1536817069035073536,2022-06-14 21:05:16+00:00,U.S. awaits 'constructive' Iranian response on nuclear deal https://t.co/V30dwdlfNr https://t.co/SBNA6QhLV2
1536815916226383872,2022-06-14 21:00:41+00:00,Analysis: Europe fills up on gas but race to replace Russia far from over https://t.co/xjA9WOEOLe https://t.co/2qgPhsxu9m
1536815742053666824,2022-06-14 21:00:00+00:00,"Dressed in a white dress and wrapped in a Ukrainian flag, a 6-year-old performed the Eurovision-winning song 'Stefania' by the Ukrainian group Kalush Orchestra to raise money for military. Read more: https://t.co/0o94o6DSWr https://t.co/DOr7y8IdLM"
1536814558844690433,2022-06-14 20:55:18+00:00,"Ford recalls 49,000 U.S. Mach-E EVs over potential power loss https://t.co/CKnYK4sKXl https://t.co/BstRSab7DF"
1536813292806610947,2022-06-14 20:50:16+00:00,ARK's Cathie Wood keeps focus on deflation as fund slump continues https://t.co/nK9tceKKzZ https://t.co/8ivaaDcbTU
1536812055898071040,2022-06-14 20:45:21+00:00,"Biden knocks Wall Street, defends economic plans amid recession fears https://t.co/uEP15jY7ev https://t.co/XiJZCPKm6C"
1536810770557714432,2022-06-14 20:40:14+00:00,EU states step up pressure on Pfizer to cut unneeded COVID vaccine supplies https://t.co/7RBWK7a3W6 https://t.co/XMwbBBqane
1536809508009390083,2022-06-14 20:35:13+00:00,"Boris has to go, UK Johnson's new 'cost of living tsar' said https://t.co/C9ZV6Naf1P https://t.co/SJFp9FpNkt"
1536809451038158848,2022-06-14 20:35:00+00:00,"Bitcoin clawed its way to positive territory on Tuesday after falling as much as 7.3% to $20,816, its lowest since December 2020 https://t.co/MCcPue6NPN https://t.co/scls2NOYww"
1536809450874585088,2022-06-14 20:35:00+00:00,Ukraine said its forces were still holding out inside Siervierodonetsk after Russia destroyed the last bridge to the city https://t.co/0sKHrjS88L https://t.co/1xIPmASRVh
1536808289706594306,2022-06-14 20:30:23+00:00,"Massachusetts court blocks gig worker ballot measure backed by Uber, Lyft https://t.co/ARMIstf6Ic https://t.co/xpT3bMzfEU"
1536808192973230080,2022-06-14 20:30:00+00:00,"In Pictures 📸: Mount Etna, Europe's most active volcano 🌋, erupts on the island of Sicily in Italy. See more here: https://t.co/pN9WumPC6k https://t.co/k0DkkLUsWW"
1536806991284383745,2022-06-14 20:25:13+00:00,"Freeport LNG extends outage after fire, targets year end for full operations https://t.co/3poDYsSdud https://t.co/xMYHx1onbW"
